generation, cans
0, 0.790000
1, 0.760000
2, 0.820000
3, 0.810000
4, 1.060000
5, 1.130000
6, 1.230000
7, 1.150000
8, 1.270000
9, 1.470000
10, 1.860000
11, 2.280000
12, 2.330000
13, 2.570000
14, 2.600000
15, 2.650000
16, 3.000000
17, 3.070000
18, 3.090000
19, 2.890000
20, 3.130000
21, 3.130000
22, 3.510000
23, 3.680000
24, 3.890000
25, 4.100000
26, 4.240000
27, 4.900000
28, 4.630000
29, 4.810000
30, 5.160000
31, 5.050000
32, 5.200000
33, 5.210000
34, 5.140000
35, 5.360000
36, 5.780000
37, 5.940000
38, 5.950000
39, 5.790000
40, 5.960000
41, 5.740000
42, 6.040000
43, 6.070000
44, 5.920000
45, 5.960000
46, 6.340000
47, 5.790000
48, 6.090000
49, 6.150000
50, 6.150000
51, 6.390000
52, 6.500000
53, 6.300000
54, 6.190000
55, 6.380000
56, 6.780000
57, 6.240000
58, 6.750000
59, 6.550000
60, 6.880000
61, 7.020000
62, 6.860000
63, 6.720000
64, 6.520000
65, 6.790000
66, 6.710000
67, 6.870000
68, 6.610000
69, 6.520000
70, 6.660000
71, 6.870000
72, 6.490000
73, 6.400000
74, 6.750000
75, 6.820000
76, 6.570000
77, 6.670000
78, 6.830000
79, 6.970000
80, 6.880000
81, 7.290000
82, 7.170000
83, 7.150000
84, 6.820000
85, 6.640000
86, 6.530000
87, 6.820000
88, 6.630000
89, 6.670000
90, 7.000000
91, 7.050000
92, 6.810000
93, 6.850000
94, 7.040000
95, 6.730000
96, 6.930000
97, 6.840000
98, 6.940000
99, 7.170000
100, 7.090000
101, 7.060000
102, 6.870000
103, 7.550000
104, 6.700000
105, 7.130000
106, 6.720000
107, 7.020000
108, 6.910000
109, 6.970000
110, 7.030000
111, 7.160000
112, 7.050000
113, 7.290000
114, 7.490000
115, 7.290000
116, 7.290000
117, 7.790000
118, 7.490000
119, 7.030000
120, 7.300000
121, 7.960000
122, 7.470000
123, 7.490000
124, 7.360000
125, 7.670000
126, 8.050000
127, 7.590000
128, 7.560000
129, 7.540000
130, 7.600000
131, 7.660000
132, 7.870000
133, 7.820000
134, 8.000000
135, 8.170000
136, 7.990000
137, 8.160000
138, 8.190000
139, 8.200000
140, 7.990000
141, 8.120000
142, 8.160000
143, 7.840000
144, 8.160000
145, 7.960000
146, 8.030000
147, 8.120000
148, 8.250000
149, 8.240000
150, 8.140000
151, 8.040000
152, 7.690000
153, 7.700000
154, 7.820000
155, 8.070000
156, 8.190000
157, 8.150000
158, 8.380000
159, 8.470000
160, 8.100000
161, 8.320000
162, 8.370000
163, 8.240000
164, 8.360000
165, 8.390000
166, 8.520000
167, 8.250000
168, 8.430000
169, 8.290000
170, 8.430000
171, 8.640000
172, 8.600000
173, 8.670000
174, 8.040000
175, 8.320000
176, 8.570000
177, 8.370000
178, 8.110000
